over,ball,current_score,wickets,balls_remaining,runs_last_5_overs,final_score
0,1,1,0,119,1,104
0,2,1,0,118,1,104
0,3,2,0,117,2,104
0,4,6,0,116,6,104
0,5,6,0,115,6,104
0,6,6,0,114,6,104
0,7,7,0,113,7,104
1,1,7,0,112,7,104
1,2,11,0,111,11,104
1,3,12,0,110,12,104
1,4,12,0,109,12,104
1,5,12,0,108,12,104
1,6,12,0,107,12,104
2,1,12,0,106,12,104
2,2,13,0,105,13,104
2,3,17,0,104,17,104
2,4,18,0,103,18,104
2,5,18,0,102,18,104
2,6,18,0,101,18,104
3,1,18,0,100,18,104
3,2,19,0,99,19,104
3,3,20,0,98,20,104
3,4,24,0,97,24,104
3,5,24,0,96,24,104
3,6,28,0,95,28,104
4,1,28,0,94,28,104
4,2,28,0,93,28,104
4,3,28,0,92,28,104
4,4,28,0,91,28,104
4,5,32,0,90,32,104
4,6,32,0,89,31,104
5,1,33,0,88,32,104
5,2,34,0,87,32,104
5,3,34,0,86,28,104
5,4,34,0,85,28,104
5,5,40,0,84,34,104
5,6,40,0,83,33,104
6,1,40,0,82,33,104
6,2,41,0,81,30,104
6,3,43,0,80,31,104
6,4,43,0,79,31,104
6,5,43,0,78,31,104
6,6,43,0,77,31,104
7,1,43,0,76,31,104
7,2,44,0,75,31,104
7,3,44,0,74,27,104
7,4,45,0,73,27,104
7,5,49,0,72,31,104
7,6,49,0,71,31,104
8,1,50,0,70,32,104
8,2,51,0,69,32,104
8,3,51,0,68,31,104
8,4,51,0,67,27,104
8,5,51,0,66,27,104
8,6,52,0,65,24,104
9,1,53,0,64,25,104
9,2,54,0,63,26,104
9,3,54,0,62,26,104
9,4,54,0,61,26,104
9,5,55,0,60,23,104
9,6,55,0,59,23,104
10,1,55,0,58,22,104
10,2,56,0,57,22,104
10,3,57,0,56,23,104
10,4,57,0,55,23,104
10,5,58,0,54,18,104
10,6,62,0,53,22,104
10,7,63,0,52,23,104
11,1,65,0,51,24,104
11,2,65,0,50,22,104
11,3,65,0,49,22,104
11,4,65,0,48,22,104
11,5,67,0,47,24,104
11,6,67,0,46,24,104
12,1,68,0,45,24,104
12,2,69,0,44,25,104
12,3,69,0,43,24,104
12,4,70,0,42,21,104
12,5,70,0,41,21,104
12,6,70,0,40,20,104
12,7,71,0,39,20,104
13,1,71,0,38,20,104
13,2,72,0,37,21,104
13,3,73,0,36,22,104
13,4,73,0,35,21,104
13,5,74,0,34,21,104
13,6,76,0,33,22,104
13,7,77,0,32,23,104
13,8,77,0,31,23,104
14,1,78,0,30,23,104
14,2,78,0,29,23,104
14,3,78,0,28,23,104
14,4,79,0,27,23,104
14,5,79,0,26,22,104
14,6,79,0,25,22,104
15,1,80,0,24,22,104
15,2,80,0,23,18,104
15,3,81,0,22,18,104
15,4,83,0,21,18,104
15,5,83,0,20,18,104
15,6,84,0,19,19,104
16,1,85,0,18,20,104
16,2,85,0,17,18,104
16,3,85,0,16,18,104
16,4,85,0,15,17,104
16,5,86,0,14,17,104
16,6,87,0,13,18,104
17,1,87,0,12,17,104
17,2,89,0,11,19,104
17,3,91,0,10,21,104
17,4,92,0,9,21,104
17,5,92,0,8,21,104
17,6,92,0,7,20,104
18,1,93,0,6,20,104
18,2,94,0,5,21,104
18,3,94,0,4,20,104
18,4,95,0,3,19,104
18,5,95,0,2,18,104
18,6,96,0,1,19,104
18,7,96,0,0,18,104
19,1,96,0,-1,18,104
19,2,100,0,-2,22,104
19,3,101,0,-3,22,104
19,4,102,0,-4,23,104
19,5,103,0,-5,24,104
19,6,104,0,-6,24,104
0,1,1,0,119,1,166
0,2,5,0,118,5,166
0,3,6,0,117,6,166
0,4,8,0,116,8,166
0,5,8,0,115,8,166
0,6,8,0,114,8,166
1,1,8,0,113,8,166
1,2,8,0,112,8,166
1,3,8,0,111,8,166
1,4,12,0,110,12,166
1,5,13,0,109,13,166
1,6,13,0,108,13,166
2,1,14,0,107,14,166
2,2,14,0,106,14,166
2,3,14,0,105,14,166
2,4,15,0,104,15,166
2,5,15,0,103,15,166
2,6,21,0,102,21,166
3,1,21,0,101,21,166
3,2,22,0,100,22,166
3,3,22,0,99,22,166
3,4,23,0,98,23,166
3,5,23,0,97,23,166
3,6,24,0,96,24,166
3,7,24,0,95,24,166
4,1,25,0,94,25,166
4,2,26,0,93,26,166
4,3,31,0,92,31,166
4,4,31,0,91,31,166
4,5,32,0,90,32,166
4,6,36,0,89,35,166
4,7,37,0,88,32,166
4,8,38,0,87,32,166
5,1,38,0,86,30,166
5,2,42,0,85,34,166
5,3,46,0,84,38,166
5,4,46,0,83,38,166
5,5,52,0,82,44,166
5,6,53,0,81,45,166
6,1,54,0,80,42,166
6,2,54,0,79,41,166
6,3,55,0,78,42,166
6,4,55,0,77,41,166
6,5,55,0,76,41,166
6,6,56,0,75,42,166
7,1,57,0,74,42,166
7,2,57,0,73,42,166
7,3,58,0,72,37,166
7,4,59,0,71,38,166
7,5,59,0,70,37,166
7,6,60,0,69,38,166
7,7,61,0,68,38,166
8,1,62,0,67,39,166
8,2,63,0,66,39,166
8,3,64,0,65,40,166
8,4,65,0,64,40,166
8,5,66,0,63,40,166
8,6,66,0,62,35,166
8,7,67,0,61,36,166
8,8,68,0,60,36,166
9,1,68,0,59,32,166
9,2,69,0,58,32,166
9,3,70,0,57,32,166
9,4,71,0,56,33,166
9,5,72,0,55,30,166
9,6,73,0,54,27,166
10,1,74,0,53,28,166
10,2,75,0,52,23,166
10,3,76,0,51,23,166
10,4,76,0,50,22,166
10,5,77,0,49,23,166
10,6,77,0,48,22,166
11,1,83,0,47,28,166
11,2,84,0,46,29,166
11,3,85,0,45,29,166
11,4,86,0,44,29,166
11,5,87,0,43,30,166
11,6,89,0,42,31,166
12,1,90,0,41,31,166
12,2,90,0,40,31,166
12,3,91,0,39,31,166
12,4,92,0,38,31,166
12,5,93,0,37,31,166
12,6,93,0,36,30,166
13,1,94,0,35,30,166
13,2,94,0,34,29,166
13,3,94,0,33,28,166
13,4,95,0,32,29,166
13,5,95,0,31,28,166
13,6,95,0,30,27,166
14,1,95,0,29,27,166
14,2,96,0,28,27,166
14,3,97,0,27,27,166
14,4,98,0,26,27,166
14,5,99,0,25,27,166
14,6,99,0,24,26,166
15,1,99,0,23,25,166
15,2,100,0,22,25,166
15,3,101,0,21,25,166
15,4,107,0,20,31,166
15,5,107,0,19,30,166
15,6,108,0,18,31,166
16,1,110,0,17,27,166
16,2,111,0,16,27,166
16,3,112,0,15,27,166
16,4,114,0,14,28,166
16,5,115,0,13,28,166
16,6,121,0,12,32,166
17,1,121,0,11,31,166
17,2,127,0,10,37,166
17,3,131,0,9,40,166
17,4,132,0,8,40,166
17,5,133,0,7,40,166
17,6,133,0,6,40,166
18,1,134,0,5,40,166
18,2,135,0,4,41,166
18,3,141,0,3,47,166
18,4,145,0,2,50,166
18,5,151,0,1,56,166
18,6,157,0,0,62,166
19,1,157,0,-1,62,166
19,2,163,0,-2,67,166
19,3,163,0,-3,66,166
19,4,165,0,-4,67,166
19,5,165,0,-5,66,166
19,6,166,0,-6,67,166
0,1,0,0,119,0,61
0,2,1,0,118,1,61
0,3,1,0,117,1,61
0,4,2,0,116,2,61
0,5,2,0,115,2,61
0,6,2,0,114,2,61
1,1,2,0,113,2,61
1,2,2,0,112,2,61
1,3,3,0,111,3,61
1,4,4,0,110,4,61
1,5,5,0,109,5,61
1,6,6,0,108,6,61
1,7,6,0,107,6,61
2,1,10,0,106,10,61
2,2,10,0,105,10,61
2,3,10,0,104,10,61
2,4,11,0,103,11,61
2,5,12,0,102,12,61
2,6,12,0,101,12,61
3,1,12,0,100,12,61
3,2,13,0,99,13,61
3,3,13,0,98,13,61
3,4,14,0,97,14,61
3,5,14,0,96,14,61
3,6,15,0,95,15,61
4,1,15,0,94,15,61
4,2,15,0,93,15,61
4,3,16,0,92,16,61
4,4,16,0,91,16,61
4,5,16,0,90,16,61
4,6,17,0,89,17,61
5,1,17,0,88,16,61
5,2,21,0,87,20,61
5,3,21,0,86,19,61
5,4,21,0,85,19,61
5,5,22,0,84,20,61
5,6,23,0,83,21,61
6,1,24,0,82,22,61
6,2,24,0,81,21,61
6,3,25,0,80,21,61
6,4,26,0,79,21,61
6,5,27,0,78,21,61
6,6,27,0,77,21,61
7,1,27,0,76,17,61
7,2,29,0,75,19,61
7,3,30,0,74,20,61
7,4,30,0,73,19,61
7,5,30,0,72,18,61
7,6,31,0,71,19,61
8,1,32,0,70,20,61
8,2,34,0,69,21,61
8,3,35,0,68,22,61
8,4,37,0,67,23,61
8,5,37,0,66,23,61
8,6,37,0,65,22,61
9,1,38,0,64,23,61
9,2,38,0,63,23,61
9,3,42,0,62,26,61
9,4,42,0,61,26,61
9,5,43,0,60,27,61
9,6,47,0,59,30,61
10,1,47,0,58,30,61
10,2,48,0,57,27,61
10,3,50,0,56,29,61
10,4,50,0,55,29,61
10,5,51,0,54,29,61
10,6,53,0,53,30,61
11,1,54,0,52,30,61
11,2,54,0,51,30,61
11,3,58,0,50,33,61
11,4,59,0,49,33,61
11,5,60,0,48,33,61
11,6,61,0,47,34,61
0,1,0,0,119,0,83
0,2,0,0,118,0,83
0,3,0,0,117,0,83
0,4,0,0,116,0,83
0,5,1,0,115,1,83
0,6,1,0,114,1,83
1,1,2,0,113,2,83
1,2,2,0,112,2,83
1,3,2,0,111,2,83
1,4,4,0,110,4,83
1,5,5,0,109,5,83
1,6,5,0,108,5,83
1,7,5,0,107,5,83
2,1,9,0,106,9,83
2,2,10,0,105,10,83
2,3,11,0,104,11,83
2,4,12,0,103,12,83
2,5,12,0,102,12,83
2,6,14,0,101,14,83
2,7,15,0,100,15,83
3,1,15,0,99,15,83
3,2,15,0,98,15,83
3,3,15,0,97,15,83
3,4,15,0,96,15,83
3,5,15,0,95,15,83
3,6,15,0,94,15,83
4,1,15,0,93,15,83
4,2,15,0,92,15,83
4,3,15,0,91,15,83
4,4,16,0,90,16,83
4,5,16,0,89,16,83
4,6,16,0,88,16,83
5,1,17,0,87,17,83
5,2,17,0,86,17,83
5,3,17,0,85,16,83
5,4,18,0,84,17,83
5,5,19,0,83,17,83
5,6,19,0,82,17,83
6,1,19,0,81,17,83
6,2,19,0,80,15,83
6,3,20,0,79,15,83
6,4,21,0,78,16,83
6,5,21,0,77,16,83
6,6,21,0,76,12,83
